ID	Dish	Cuisine	Link	Diet
62	Saimin	Aus/NZ and Pacific Islands	Google Search Saimin	Contains Egg,Contains Fish,No Dairy
63	Bánh canh	Southeast Asian	Google Search Bánh canh	No Meat,No Dairy,Kosher,Vegan,Gluten Free
64	Ravioli	European	Google Search Ravioli	No Meat,No Dairy,Kosher,Contains Egg
65	Fettuccine Alfredo	European	Google Search Fettuccine Alfredo	No Meat,Kosher,Contains Egg
66	Cacio e pepe	European	Google Search Cacio e pepe	No Meat,Kosher
67	Alphabet soup	U.S./Canada	Google Search Alphabet soup	No Meat,No Dairy,Kosher,Vegan
68	Lasagna	European	Google Search Lasagna	
69	Kugel	European	Google Search Kugel	No Meat,Contains Egg,Kosher
70	Penne alla vodka	European	Google Search Penne alla vodka	No Meat,Kosher
71	Pesto	European	Google Search Pesto	No Meat,Kosher,Gluten Free,Contains Tree Nuts
72	Hummus	Middle Eastern/North African	Google Search Hummus	No Meat,No Dairy,Kosher,Vegan,Gluten Free
73	Babaganoush	Middle Eastern/North African	Google Search Babaganoush	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
74	Sriracha	Southeast Asian	Google Search Sriracha	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
75	Tartar sauce	European	Google Search Tartar sauce	No Meat,No Dairy,Contains Egg,Kosher
76	Hollandaise sauce	European	Google Search Hollandaise sauce	No Meat,Contains Egg,Kosher
77	Mustard	European	Google Search Mustard	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
78	Chimichurri	Latin American	Google Search Chimichurri	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
79	Gremolata	European	Google Search Gremolata	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
80	Pico de gallo	Latin American	Google Search Pico de gallo	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
81	Salsa verde	Latin American	Google Search Salsa verde	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
82	Harissa	Middle Eastern/North African	Google Search Harissa	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
83	Amba	Middle Eastern/North African	Google Search Amba	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
84	Zhoug	Middle Eastern/North African	Google Search Zhoug	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
85	Hoison sauce	Chinese	Google Search Hoison sauce	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Contains Soy
86	Plum sauce	Chinese	Google Search Plum sauce	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Contains Soy
87	Soy sauce	Chinese	Google Search Soy sauce	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Contains Soy
88	Ajika	European	Google Search Ajika	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
89	Toum	Middle Eastern/North African	Google Search Toum	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
90	Pebre	Latin American	Google Search Pebre	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
91	Guacamole	Latin American	Google Search Guacamole	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
92	Marinara sauce	European	Google Search Marinara sauce	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
93	Mint chutney	Indian	Google Search Mint chutney	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
94	Coconut chutney	Indian	Google Search Coconut chutney	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
95	Sambal	Aus/NZ and Pacific Islands	Google Search Sambal	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
96	Agrodolce	European	Google Search Agrodolce	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
97	Ponzu	Japanese/Korean	Google Search Ponzu	No Meat,No Dairy,Contains Fish,Gluten Free,Kosher
98	Tonkatsu	Japanese/Korean	Google Search Tonkatsu	No Meat,No Dairy,Contains Fish,Gluten Free,Contains Soy,Kosher
99	Chocolate mole	Latin American	Google Search Chocolate mole	No Meat,No Dairy,Contains Tree Nuts,Paleo,Gluten Free,Vegan,Kosher
100	Cebolada	European	Google Search Cebolada	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
101	Worcestershire sauce	European	Google Search Worcestershire sauce	No Meat,No Dairy,Contains Fish,Gluten Free,Kosher
102	Ketchup	U.S./Canada	Google Search Ketchup	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
103	Tikka masala	Indian	Google Search Tikka masala	No Meat,Kosher,Gluten Free
104	Saag	Indian	Google Search Saag	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
105	Dopiaza	Indian	Google Search Dopiaza	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
106	Madras	Indian	Google Search Madras	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
107	Rogan josh	Indian	Google Search Rogan josh	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
108	Vindaloo	Indian	Google Search Vindaloo	No Meat,No Dairy,Kosher,Vegan,Gluten Free
109	Japanese curry	Japanese/Korean	Google Search Japanese curry	No Meat,No Dairy,Kosher,Vegan
110	Thai green curry	Southeast Asian	Google Search Thai green curry	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
111	Massamun curry	Southeast Asian	Google Search Massamun curry	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Contains Peanuts
112	Panang curry	Southeast Asian	Google Search Panang curry	No Meat,No Dairy,Contains Shellfish,Gluten Free,Paleo
113	Mango curry	Indian	Google Search Mango curry	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
114	Thai yellow curry	Southeast Asian	Google Search Thai yellow curry	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
115	Thai red curry	Southeast Asian	Google Search Thai red curry	No Meat,No Dairy,Kosher,Vegan,Gluten Free,Paleo
